time,NYE05.wind_speed_100m,NYE05.wave_height,RUWRF.wind_speed_100m,RUWRF.wind_dir_100m,NOAA.wave_height,NOAA.wave_dir,NOAA.wind_speed_10m,NOAA.wind_dir_10m
2019-08-18 20:00:00+00:00,7.8779,0.78,5.996069292928188,195.7530169716016,1.0,182.27,5.65,198.67
2019-08-18 21:00:00+00:00,7.424366666666667,0.78,7.396378319671222,195.98914142846883,1.0,182.31,6.65,193.29
2019-08-18 22:00:00+00:00,6.298233333333332,0.85,8.212699146957236,195.899227246708,0.99,182.28,5.85,193.61
2019-08-18 23:00:00+00:00,6.1324000000000005,0.82,8.809998564440116,197.52774928128383,0.98,182.26,5.06,193.92
2019-08-19 00:00:00+00:00,6.406766666666667,0.8,10.257672448903758,198.7996909073412,0.97,182.23,4.26,194.24
2019-08-19 01:00:00+00:00,6.626483333333333,0.8,6.0804070865970266,206.35864305294223,0.96,181.91,4.39,192.77
2019-08-19 02:00:00+00:00,5.933716666666666,0.78,5.940241943214746,211.1342505046936,0.96,181.59,4.53,191.3
2019-08-19 03:00:00+00:00,4.5484833333333325,0.7,5.663328826600059,204.81027160180068,0.95,181.27,4.66,189.83
2019-08-19 04:00:00+00:00,5.4523,0.72,6.136171978432761,203.35259894079047,0.95,181.22,5.37,185.27
2019-08-19 05:00:00+00:00,4.961833333333334,0.74,8.549023924885436,187.3258423205837,0.95,181.18,6.07,180.71
2019-08-19 06:00:00+00:00,4.1608833333333335,0.68,8.601565155306917,176.9993910763544,0.95,181.13,6.78,176.15
2019-08-19 07:00:00+00:00,4.195016666666667,0.75,7.378508456141911,176.6828520787301,0.95,181.37,5.94,175.86
2019-08-19 08:00:00+00:00,4.8746,0.71,4.96118964298838,168.6324530901531,0.95,181.6,5.11,175.57
2019-08-19 09:00:00+00:00,4.230966666666666,0.66,3.98486593996232,183.56898779780695,0.95,181.84,4.27,175.28
2019-08-19 10:00:00+00:00,5.73545,0.71,3.6811295367063166,192.19853888638283,0.95,180.93,3.34,194.4
2019-08-19 11:00:00+00:00,5.7288,0.64,3.1896523316362324,232.184606832301,0.94,180.01,2.41,213.52
2019-08-19 12:00:00+00:00,4.31255,0.63,2.5129615199024964,203.99711182938927,0.94,179.1,1.48,232.64
2019-08-19 13:00:00+00:00,3.651116666666667,0.64,1.88389701409876,211.0429090359364,0.95,176.62,1.65,229.29
2019-08-19 14:00:00+00:00,3.7742833333333334,0.65,2.270726847163569,266.96386834487566,0.95,174.14,1.82,225.95
2019-08-19 15:00:00+00:00,4.626716666666667,0.62,1.9469488512608035,316.3044315417532,0.96,171.66,1.99,222.6
2019-08-19 16:00:00+00:00,5.5896,0.64,1.9187065980590088,207.61098974285355,0.98,171.62,2.95,218.79
2019-08-19 17:00:00+00:00,6.20255,0.65,2.4758187328342203,217.3294468474746,1.01,171.58,3.92,214.98
2019-08-19 18:00:00+00:00,7.483350000000001,0.66,2.9048074834578848,225.93921220297176,1.03,171.54,4.88,211.17
2019-08-19 19:00:00+00:00,8.31415,0.68,5.433434681821269,205.141249182164,1.05,175.05,5.25,206.82
2019-08-19 20:00:00+00:00,10.188283333333333,0.75,6.177822687304734,193.49928961095657,1.06,178.55,5.61,202.47
2019-08-19 21:00:00+00:00,9.683483333333333,0.86,7.782305102453438,193.1014076602562,1.08,182.06,5.98,198.12
2019-08-19 22:00:00+00:00,9.852166666666667,1.01,9.308543017019199,204.38267969568196,1.09,182.62,6.07,204.82
2019-08-19 23:00:00+00:00,6.575433333333333,1.01,7.142289961519443,198.6029919068451,1.11,183.18,6.17,211.53
2019-08-20 00:00:00+00:00,5.662999999999999,0.99,7.736274326192802,210.1058618526221,1.12,183.74,6.26,218.23
2019-08-20 01:00:00+00:00,7.517716666666668,0.88,7.648645306666119,231.93343573914555,1.11,183.36,6.22,221.18
2019-08-20 02:00:00+00:00,8.468983333333332,0.89,7.324715600751732,229.61513283426868,1.1,182.97,6.19,224.14
2019-08-20 03:00:00+00:00,7.033883333333333,0.91,8.514255815001677,232.36672148630745,1.09,182.59,6.15,227.09
2019-08-20 04:00:00+00:00,6.374933333333334,0.85,8.674499735342506,240.38687644422907,1.07,182.04,5.81,241.32
2019-08-20 05:00:00+00:00,7.220766666666666,0.8,8.286863976867306,245.34803681917717,1.05,181.5,5.46,255.54
2019-08-20 06:00:00+00:00,8.077316666666666,0.76,7.596434033705782,254.75585302903332,1.03,180.95,5.12,269.77
2019-08-20 07:00:00+00:00,6.52845,0.8,5.619600589901903,271.164164171316,1.01,177.13,4.81,286.46
